Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
16.0,Payton Pritchard,28.0,BOS,PG,79.0,50.0,2556.0,7.1,15.4,0.464,3.0,7.9,0.377,4.1,7.5,0.556,0.561,1.7,1.9,0.89,1.0,3.4,4.4,5.7,0.8,0.1,1.5,1.7,18.9,
17.0,Jalen Johnson,24.0,ATL,SF,72.0,72.0,2532.0,8.5,17.5,0.489,1.7,4.8,0.352,6.8,12.6,0.541,0.537,4.3,5.4,0.788,1.4,9.1,10.5,8.0,1.3,0.4,3.5,2.1,23.0,AS
18.0,Dyson Daniels,22.0,ATL,SG,76.0,76.0,2520.0,5.7,11.1,0.517,0.3,1.7,0.188,5.4,9.4,0.576,0.532,1.1,1.7,0.615,2.6,4.8,7.4,6.4,2.1,0.4,1.9,2.4,12.9,
19.0,Kon Knueppel,20.0,CHO,SF,80.0,79.0,2519.0,7.3,15.3,0.477,3.9,9.0,0.427,3.4,6.3,0.548,0.603,2.8,3.2,0.862,1.4,4.7,6.1,3.8,0.8,0.3,2.3,2.4,21.2,
20.0,Donte DiVincenzo,29.0,MIN,SG,81.0,81.0,2487.0,4.9,12.0,0.407,3.5,9.2,0.38,1.4,2.8,0.497,0.554,1.1,1.5,0.743,1.0,3.9,4.8,4.5,1.5,0.5,1.7,2.8,14.4,
21.0,Paolo Banchero,23.0,ORL,PF,71.0,71.0,2464.0,7.6,16.5,0.462,1.2,3.9,0.311,6.4,12.6,0.509,0.499,6.5,8.5,0.774,1.2,7.5,8.7,5.3,0.7,0.6,3.2,2.1,23.0,
22.0,Jaylen Brown,29.0,BOS,SF,71.0,71.0,2443.0,10.8,22.7,0.477,2.1,6.0,0.347,8.8,16.8,0.523,0.522,6.3,7.9,0.795,1.2,6.1,7.3,5.4,1.1,0.4,3.8,2.8,30.0,AS
23.0,James Harden,36.0,2TM,PG,70.0,70.0,2438.0,7.2,16.6,0.434,3.2,8.5,0.375,4.0,8.1,0.495,0.529,6.8,7.7,0.884,0.6,4.4,5.0,8.2,1.2,0.4,3.6,2.0,24.4,
23.0,James Harden,36.0,LAC,PG,44.0,44.0,1559.0,7.5,17.8,0.419,3.1,9.0,0.347,4.3,8.8,0.492,0.506,7.8,8.6,0.901,0.6,4.3,4.9,8.3,1.3,0.4,3.7,1.9,25.8,
23.0,James Harden,36.0,CLE,PG,26.0,26.0,879.0,6.7,14.4,0.466,3.3,7.5,0.435,3.4,6.9,0.5,0.58,5.2,6.1,0.84,0.5,4.5,5.1,8.2,0.9,0.5,3.4,2.2,21.9,
24.0,DeMar DeRozan,36.0,SAC,PF,77.0,77.0,2406.0,7.5,15.0,0.497,0.7,2.2,0.32,6.8,12.8,0.527,0.52,5.6,6.4,0.868,0.5,2.9,3.4,4.7,1.2,0.3,1.4,2.2,21.2,
25.0,Alperen Şengün,23.0,HOU,C,72.0,72.0,2398.0,8.8,16.9,0.519,0.6,2.0,0.305,8.2,14.9,0.547,0.537,3.9,5.6,0.691,3.2,6.4,9.6,6.7,1.3,1.2,3.4,3.6,22.0,AS
26.0,Rudy Gobert,33.0,MIN,C,76.0,76.0,2380.0,5.1,7.4,0.682,0.0,0.1,0.0,5.1,7.4,0.689,0.682,2.4,4.6,0.526,4.5,8.7,13.2,1.9,0.9,1.9,1.6,3.0,12.5,
27.0,Ryan Rollins,23.0,MIL,PG,74.0,67.0,2376.0,7.4,15.6,0.472,2.8,6.9,0.406,4.6,8.7,0.523,0.561,1.9,2.4,0.796,0.8,4.3,5.1,6.3,1.7,0.5,3.0,2.9,19.4,
28.0,Miles Bridges,27.0,CHO,PF,76.0,76.0,2363.0,7.3,15.8,0.46,2.3,6.7,0.334,5.0,9.0,0.555,0.532,3.2,3.8,0.825,1.1,5.7,6.8,3.7,0.7,0.5,1.6,2.0,19.9,
29.0,Donovan Mitchell,29.0,CLE,SG,70.0,70.0,2342.0,10.4,21.6,0.483,3.4,9.5,0.364,7.0,12.1,0.577,0.563,5.7,6.6,0.865,0.8,4.1,4.9,6.1,1.6,0.3,3.0,2.5,30.0,AS
30.0,Trey Murphy III,25.0,NOP,SF,66.0,66.0,2341.0,7.6,16.1,0.47,3.3,8.7,0.379,4.3,7.5,0.577,0.572,3.4,3.8,0.886,1.0,4.8,5.8,3.8,1.5,0.4,1.8,2.1,21.8,
